Title,Abstract,authors,Year,URL,Source
Three IQs of AI Systems and their Testing Methods,"The rapid development of artificial intelligence has brought the artificial
intelligence threat theory as well as the problem about how to evaluate the
intelligence level of intelligent products. Both need to find a quantitative
method to evaluate the intelligence level of intelligence systems, including
human intelligence. Based on the standard intelligence system and the extended
Von Neumann architecture, this paper proposes General IQ, Service IQ and Value
IQ evaluation methods for intelligence systems, depending on different
evaluation purposes. Among them, the General IQ of intelligence systems is to
answer the question of whether the artificial intelligence can surpass the
human intelligence, which is reflected in putting the intelligence systems on
an equal status and conducting the unified evaluation. The Service IQ and Value
IQ of intelligence systems are used to answer the question of how the
intelligent products can better serve the human, reflecting the intelligence
and required cost of each intelligence system as a product in the process of
serving human.","Feng Liu, Yong Shi, Ying Liu",2017,http://arxiv.org/abs/1712.06440v1,Arxive
"Examining correlation between trust and transparency with explainable
  artificial intelligence","Trust between humans and artificial intelligence(AI) is an issue which has
implications in many fields of human computer interaction. The current issue
with artificial intelligence is a lack of transparency into its decision
making, and literature shows that increasing transparency increases trust.
Explainable artificial intelligence has the ability to increase transparency of
AI, which could potentially increase trust for humans. This paper attempts to
use the task of predicting yelp review star ratings with assistance from an
explainable and non explainable artificial intelligence to see if trust is
increased with increased transparency. Results show that for these tasks,
explainable artificial intelligence provided significant increase in trust as a
measure of influence.",Arnav Kartikeya,2021,http://arxiv.org/abs/2108.04770v1,Arxive
"The Artificial Scientist: Logicist, Emergentist, and Universalist
  Approaches to Artificial General Intelligence","We attempt to define what is necessary to construct an Artificial Scientist,
explore and evaluate several approaches to artificial general intelligence
(AGI) which may facilitate this, conclude that a unified or hybrid approach is
necessary and explore two theories that satisfy this requirement to some
degree.","Michael Timothy Bennett, Yoshihiro Maruyama",2021,http://arxiv.org/abs/2110.01831v1,Arxive
Philosophy in the Face of Artificial Intelligence,"In this article, I discuss how the AI community views concerns about the
emergence of superintelligent AI and related philosophical issues.",Vincent Conitzer,2016,http://arxiv.org/abs/1605.06048v1,Arxive
"Advances in Artificial Intelligence Require Progress Across all of
  Computer Science","Advances in Artificial Intelligence require progress across all of computer
science.","Gregory D. Hager, Randal Bryant, Eric Horvitz, Maja Mataric, Vasant Honavar",2017,http://arxiv.org/abs/1707.04352v1,Arxive
"AAAI FSS-19: Artificial Intelligence in Government and Public Sector
  Proceedings","Proceedings of the AAAI Fall Symposium on Artificial Intelligence in
Government and Public Sector, Arlington, Virginia, USA, November 7-8, 2019","Frank Stein, Alun Preece",2019,http://arxiv.org/abs/1911.01156v2,Arxive
"AAAI FSS-20: Artificial Intelligence in Government and Public Sector
  Proceedings","Proceedings of the AAAI Fall Symposium on Artificial Intelligence in
Government and Public Sector, Washington, DC, USA, November 13-14, 2020","Frank Stein, Alun Preece",2020,http://arxiv.org/abs/2011.04527v2,Arxive
"AAAI FSS-21: Artificial Intelligence in Government and Public Sector
  Proceedings","Proceedings of the AAAI Fall Symposium on Artificial Intelligence in
Government and Public Sector, Washington, DC, USA, November 4-6, 2021","Mihai Boicu, Erik Blasch, Alun Preece",2021,http://arxiv.org/abs/2112.05614v1,Arxive
"Can transformative AI shape a new age for our civilization?: Navigating
  between speculation and reality","Artificial Intelligence is widely regarded as a transformative force with the
potential to redefine numerous sectors of human civilization. While Artificial
Intelligence has evolved from speculative fiction to a pivotal element of
technological progress, its role as a truly transformative agent, or
transformative Artificial Intelligence, remains a subject of debate. This work
explores the historical precedents of technological breakthroughs, examining
whether Artificial Intelligence can achieve a comparable impact, and it delves
into various ethical frameworks that shape the perception and development of
Artificial Intelligence. Additionally, it considers the societal, technical,
and regulatory challenges that must be addressed for Artificial Intelligence to
become a catalyst for global change. We also examine not only the strategies
and methodologies that could lead to transformative Artificial Intelligence but
also the barriers that could ultimately make these goals unattainable. We end
with a critical inquiry into whether reaching a transformative Artificial
Intelligence might compel humanity to adopt an entirely new ethical approach,
tailored to the complexities of advanced Artificial Intelligence. By addressing
the ethical, social, and scientific dimensions of Artificial Intelligence's
development, this work contributes to the broader discourse on the long-term
implications of Artificial Intelligence and its capacity to drive civilization
toward a new era of progress or, conversely, exacerbate existing inequalities
and risks.","Jesus L. Lobo, Javier Del Ser",2024,http://arxiv.org/abs/2412.08273v1,Arxive
"Intelligence of Astronomical Optical Telescope: Present Status and
  Future Perspectives","Artificial intelligence technology has been widely used in astronomy, and new
artificial intelligence technologies and application scenarios are constantly
emerging. There have been a large number of papers reviewing the application of
artificial intelligence technology in astronomy. However, relevant articles
seldom mention telescope intelligence separately, and it is difficult to
understand the current development status and research hotspots of telescope
intelligence from these papers. This paper combines the development history of
artificial intelligence technology and the difficulties of critical
technologies of telescopes, comprehensively introduces the development and
research hotspots of telescope intelligence, then conducts statistical analysis
on various research directions of telescope intelligence and defines the
research directions' merits. All kinds of research directions are evaluated,
and the research trend of each telescope's intelligence is pointed out.
Finally, according to the advantages of artificial intelligence technology and
the development trend of telescopes, future research hotspots of telescope
intelligence are given.","Kang Huang, Tianzhu Hu, Jingyi Cai, Xiushan Pang, Yonghui Hou, Yong Zhang, Huaiqing Wang, Xiangqun Cui",2023,http://arxiv.org/abs/2306.16834v2,Arxive
AAAI-2019 Workshop on Games and Simulations for Artificial Intelligence,"This volume represents the accepted submissions from the AAAI-2019 Workshop
on Games and Simulations for Artificial Intelligence held on January 29, 2019
in Honolulu, Hawaii, USA. https://www.gamesim.ai","Marwan Mattar, Roozbeh Mottaghi, Julian Togelius, Danny Lange",2019,http://arxiv.org/abs/1903.02172v1,Arxive
Lecture Notes: Optimization for Machine Learning,"Lecture notes on optimization for machine learning, derived from a course at
Princeton University and tutorials given in MLSS, Buenos Aires, as well as
Simons Foundation, Berkeley.",Elad Hazan,2019,http://arxiv.org/abs/1909.03550v1,Arxive
An Optimal Control View of Adversarial Machine Learning,"I describe an optimal control view of adversarial machine learning, where the
dynamical system is the machine learner, the input are adversarial actions, and
the control costs are defined by the adversary's goals to do harm and be hard
to detect. This view encompasses many types of adversarial machine learning,
including test-item attacks, training-data poisoning, and adversarial reward
shaping. The view encourages adversarial machine learning researcher to utilize
advances in control theory and reinforcement learning.",Xiaojin Zhu,2018,http://arxiv.org/abs/1811.04422v1,Arxive
"Minimax deviation strategies for machine learning and recognition with
  short learning samples","The article is devoted to the problem of small learning samples in machine
learning. The flaws of maximum likelihood learning and minimax learning are
looked into and the concept of minimax deviation learning is introduced that is
free of those flaws.","Michail Schlesinger, Evgeniy Vodolazskiy",2017,http://arxiv.org/abs/1707.04849v1,Arxive
